Trace1,
Freq,,Amp,,
                1000,Hz,              -18.61, dBm,
                1081,Hz,              -18.61, dBm,
                1162,Hz,              -18.62, dBm,
                1243,Hz,              -18.62, dBm,
                1324,Hz,              -18.62, dBm,
                1405,Hz,              -18.62, dBm,
                1486,Hz,              -18.62, dBm,
                1567,Hz,              -18.62, dBm,
                1648,Hz,              -18.62, dBm,
                1729,Hz,              -18.61, dBm,
                1810,Hz,              -18.59, dBm,
                1891,Hz,              -18.58, dBm,
                1972,Hz,              -18.57, dBm,
                2053,Hz,              -18.58, dBm,
                2134,Hz,              -18.62, dBm,
                2215,Hz,              -18.73, dBm,
                2296,Hz,              -18.92, dBm,
                2377,Hz,              -19.21, dBm,
                2458,Hz,              -19.61, dBm,
                2539,Hz,              -20.15, dBm,
                2620,Hz,              -20.83, dBm,
                2701,Hz,              -21.67, dBm,
                2782,Hz,              -22.69, dBm,
                2863,Hz,              -23.92, dBm,
                2944,Hz,              -25.35, dBm,
                3025,Hz,              -27.01, dBm,
                3106,Hz,              -28.87, dBm,
                3187,Hz,              -30.95, dBm,
                3268,Hz,              -33.24, dBm,
                3349,Hz,              -35.66, dBm,
                3430,Hz,              -38.19, dBm,
                3511,Hz,              -40.83, dBm,
                3592,Hz,              -43.47, dBm,
                3673,Hz,              -46.00, dBm,
                3754,Hz,              -48.32, dBm,
                3835,Hz,              -50.28, dBm,
                3916,Hz,              -51.81, dBm,
                3997,Hz,              -52.94, dBm,
                4078,Hz,              -53.72, dBm,
                4159,Hz,              -54.23, dBm,
                4240,Hz,              -54.57, dBm,
                4321,Hz,              -54.84, dBm,
                4402,Hz,              -55.03, dBm,
                4483,Hz,              -55.17, dBm,
                4564,Hz,              -55.30, dBm,
                4645,Hz,              -55.40, dBm,
                4726,Hz,              -55.51, dBm,
                4807,Hz,              -55.59, dBm,
                4888,Hz,              -55.64, dBm,
                4969,Hz,              -55.66, dBm,
                5050,Hz,              -55.67, dBm,
                5131,Hz,              -55.67, dBm,
                5212,Hz,              -55.67, dBm,
                5293,Hz,              -55.68, dBm,
                5374,Hz,              -55.68, dBm,
                5455,Hz,              -55.69, dBm,
                5536,Hz,              -55.72, dBm,
                5617,Hz,              -55.77, dBm,
                5698,Hz,              -55.86, dBm,
                5779,Hz,              -55.98, dBm,
                5860,Hz,              -56.14, dBm,
                5941,Hz,              -56.30, dBm,
                6022,Hz,              -56.46, dBm,
                6103,Hz,              -56.61, dBm,
                6184,Hz,              -56.74, dBm,
                6265,Hz,              -56.87, dBm,
                6346,Hz,              -56.97, dBm,
                6427,Hz,              -57.08, dBm,
                6508,Hz,              -57.18, dBm,
                6589,Hz,              -57.27, dBm,
                6670,Hz,              -57.34, dBm,
                6751,Hz,              -57.38, dBm,
                6832,Hz,              -57.40, dBm,
                6913,Hz,              -57.44, dBm,
                6994,Hz,              -57.44, dBm,
                7075,Hz,              -57.44, dBm,
                7156,Hz,              -57.44, dBm,
                7237,Hz,              -57.47, dBm,
                7318,Hz,              -57.55, dBm,
                7399,Hz,              -57.68, dBm,
                7480,Hz,              -57.87, dBm,
                7561,Hz,              -58.08, dBm,
                7642,Hz,              -58.29, dBm,
                7723,Hz,              -58.50, dBm,
                7804,Hz,              -58.69, dBm,
                7885,Hz,              -58.86, dBm,
