Trace1,
Freq,,Amp,,
                1000,Hz,              -17.74, dBm,
                1081,Hz,              -18.10, dBm,
                1162,Hz,              -18.51, dBm,
                1243,Hz,              -18.97, dBm,
                1324,Hz,              -19.48, dBm,
                1405,Hz,              -20.01, dBm,
                1486,Hz,              -20.57, dBm,
                1567,Hz,              -21.19, dBm,
                1648,Hz,              -21.88, dBm,
                1729,Hz,              -22.61, dBm,
                1810,Hz,              -23.39, dBm,
                1891,Hz,              -24.20, dBm,
                1972,Hz,              -25.08, dBm,
                2053,Hz,              -26.07, dBm,
                2134,Hz,              -27.10, dBm,
                2215,Hz,              -28.15, dBm,
                2296,Hz,              -29.26, dBm,
                2377,Hz,              -30.47, dBm,
                2458,Hz,              -31.80, dBm,
                2539,Hz,              -33.15, dBm,
                2620,Hz,              -34.49, dBm,
                2701,Hz,              -35.95, dBm,
                2782,Hz,              -37.47, dBm,
                2863,Hz,              -39.03, dBm,
                2944,Hz,              -40.60, dBm,
                3025,Hz,              -42.10, dBm,
                3106,Hz,              -43.61, dBm,
                3187,Hz,              -45.12, dBm,
                3268,Hz,              -46.56, dBm,
                3349,Hz,              -47.80, dBm,
                3430,Hz,              -48.90, dBm,
                3511,Hz,              -49.88, dBm,
                3592,Hz,              -50.76, dBm,
                3673,Hz,              -51.44, dBm,
                3754,Hz,              -51.95, dBm,
                3835,Hz,              -52.35, dBm,
                3916,Hz,              -52.66, dBm,
                3997,Hz,              -52.90, dBm,
                4078,Hz,              -53.11, dBm,
                4159,Hz,              -53.28, dBm,
                4240,Hz,              -53.46, dBm,
                4321,Hz,              -53.62, dBm,
                4402,Hz,              -53.78, dBm,
                4483,Hz,              -53.94, dBm,
                4564,Hz,              -54.10, dBm,
                4645,Hz,              -54.27, dBm,
                4726,Hz,              -54.44, dBm,
                4807,Hz,              -54.60, dBm,
                4888,Hz,              -54.76, dBm,
                4969,Hz,              -54.92, dBm,
                5050,Hz,              -55.07, dBm,
                5131,Hz,              -55.22, dBm,
                5212,Hz,              -55.37, dBm,
                5293,Hz,              -55.51, dBm,
                5374,Hz,              -55.65, dBm,
                5455,Hz,              -55.79, dBm,
                5536,Hz,              -55.91, dBm,
                5617,Hz,              -56.03, dBm,
                5698,Hz,              -56.14, dBm,
                5779,Hz,              -56.25, dBm,
                5860,Hz,              -56.36, dBm,
                5941,Hz,              -56.46, dBm,
                6022,Hz,              -56.55, dBm,
                6103,Hz,              -56.63, dBm,
                6184,Hz,              -56.71, dBm,
                6265,Hz,              -56.81, dBm,
                6346,Hz,              -56.90, dBm,
                6427,Hz,              -56.98, dBm,
                6508,Hz,              -57.06, dBm,
                6589,Hz,              -57.15, dBm,
                6670,Hz,              -57.24, dBm,
                6751,Hz,              -57.31, dBm,
                6832,Hz,              -57.37, dBm,
                6913,Hz,              -57.44, dBm,
                6994,Hz,              -57.53, dBm,
                7075,Hz,              -57.62, dBm,
                7156,Hz,              -57.71, dBm,
                7237,Hz,              -57.79, dBm,
                7318,Hz,              -57.87, dBm,
                7399,Hz,              -57.97, dBm,
                7480,Hz,              -58.08, dBm,
                7561,Hz,              -58.17, dBm,
                7642,Hz,              -58.26, dBm,
                7723,Hz,              -58.35, dBm,
                7804,Hz,              -58.47, dBm,
                7885,Hz,              -58.60, dBm,
                7966,Hz,              -58.71, dBm,
                8047,Hz,              -58.84, dBm,
                8128,Hz,              -58.97, dBm,
                8209,Hz,              -59.10, dBm,
                8290,Hz,              -59.24, dBm,
                8371,Hz,              -59.37, dBm,
                8452,Hz,              -59.50, dBm,
                8533,Hz,              -59.64, dBm,
                8614,Hz,              -59.76, dBm,
                8695,Hz,              -59.87, dBm,
                8776,Hz,              -59.98, dBm,
                8857,Hz,              -60.08, dBm,
                8938,Hz,              -60.17, dBm,
                9019,Hz,              -60.26, dBm,
                9100,Hz,              -60.34, dBm,
                9181,Hz,              -60.42, dBm,
                9262,Hz,              -60.50, dBm,
                9343,Hz,              -60.56, dBm,
                9424,Hz,              -60.64, dBm,
                9505,Hz,              -60.73, dBm,
                9586,Hz,              -60.81, dBm,
                9667,Hz,              -60.88, dBm,
                9748,Hz,              -60.94, dBm,
                9829,Hz,              -61.02, dBm,
                9910,Hz,              -61.10, dBm,
                9991,Hz,              -61.18, dBm,
               10072,Hz,              -61.25, dBm,
               10153,Hz,              -61.32, dBm,
               10234,Hz,              -61.41, dBm,
               10315,Hz,              -61.49, dBm,
               10396,Hz,              -61.58, dBm,
               10477,Hz,              -61.66, dBm,
               10558,Hz,              -61.74, dBm,
               10639,Hz,              -61.82, dBm,
               10720,Hz,              -61.90, dBm,
               10801,Hz,              -61.98, dBm,
               10882,Hz,              -62.06, dBm,
               10963,Hz,              -62.13, dBm,
               11044,Hz,              -62.21, dBm,
               11125,Hz,              -62.29, dBm,
               11206,Hz,              -62.36, dBm,
               11287,Hz,              -62.43, dBm,
               11368,Hz,              -62.51, dBm,
               11449,Hz,              -62.57, dBm,
               11530,Hz,              -62.63, dBm,
               11611,Hz,              -62.70, dBm,
               11692,Hz,              -62.76, dBm,
               11773,Hz,              -62.81, dBm,
               11854,Hz,              -62.85, dBm,
               11935,Hz,              -62.89, dBm,
               12016,Hz,              -62.91, dBm,
