,CH1,CH3
Second,Volt,Volt
2.54144e-02,5.68e-01,1.91e-01, 
2.55144e-02,5.44e-01,1.95e-01, 
2.56144e-02,5.44e-01,1.92e-01, 
2.57144e-02,5.20e-01,1.97e-01, 
2.58144e-02,5.20e-01,1.99e-01, 
2.59144e-02,5.04e-01,1.92e-01, 
2.60144e-02,5.04e-01,1.91e-01, 
2.61144e-02,4.80e-01,1.80e-01, 
2.62144e-02,4.72e-01,1.78e-01, 
2.63144e-02,4.56e-01,1.72e-01, 
2.64144e-02,4.48e-01,1.71e-01, 
2.65144e-02,4.24e-01,1.68e-01, 
2.66144e-02,4.24e-01,1.69e-01, 
2.67144e-02,4.00e-01,1.78e-01, 
2.68144e-02,3.92e-01,1.79e-01, 
2.69144e-02,3.76e-01,1.91e-01, 
2.70144e-02,3.68e-01,1.91e-01, 
2.71144e-02,3.52e-01,1.97e-01, 
2.72144e-02,3.44e-01,1.97e-01, 
2.73144e-02,3.28e-01,1.93e-01, 
2.74144e-02,3.20e-01,1.92e-01, 
2.75144e-02,3.04e-01,1.77e-01, 
2.76144e-02,3.04e-01,1.79e-01, 
2.77144e-02,2.80e-01,1.67e-01, 
2.78144e-02,2.80e-01,1.68e-01, 
2.79144e-02,2.56e-01,1.74e-01, 
2.80144e-02,2.56e-01,1.73e-01, 
2.81144e-02,2.24e-01,1.90e-01, 
2.82144e-02,2.24e-01,1.88e-01, 
2.83144e-02,2.00e-01,1.99e-01, 
2.84144e-02,2.00e-01,1.97e-01, 
2.85144e-02,1.76e-01,1.92e-01, 
2.86144e-02,1.68e-01,1.90e-01, 
2.87144e-02,1.52e-01,1.75e-01, 
2.88144e-02,1.52e-01,1.75e-01, 
2.89144e-02,1.28e-01,1.68e-01, 
2.90144e-02,1.20e-01,1.69e-01, 
2.91144e-02,1.04e-01,1.79e-01, 
2.92144e-02,9.60e-02,1.79e-01, 
2.93144e-02,8.00e-02,1.93e-01, 
2.94144e-02,8.00e-02,1.95e-01, 
2.95144e-02,5.60e-02,1.98e-01, 
2.96144e-02,4.80e-02,1.97e-01, 
2.97144e-02,2.40e-02,1.84e-01, 
2.98144e-02,2.40e-02,1.81e-01, 
2.99144e-02,0.00e+00,1.70e-01, 
