,CH1,CH2,CH3
Second,Volt,Volt,Volt
-2.75200e-04,5.40e-01,-1.00e-01,1.74e-01, 
-2.74200e-04,5.00e-01,-1.40e-01,1.71e-01, 
-2.73200e-04,4.80e-01,-8.00e-02,1.72e-01, 
-2.72200e-04,5.00e-01,-1.60e-01,1.70e-01, 
-2.71200e-04,4.80e-01,-1.20e-01,1.70e-01, 
-2.70200e-04,4.60e-01,-1.40e-01,1.71e-01, 
-2.69200e-04,4.60e-01,-1.20e-01,1.70e-01, 
-2.68200e-04,4.20e-01,-1.40e-01,1.74e-01, 
-2.67200e-04,4.20e-01,-1.20e-01,1.70e-01, 
-2.66200e-04,4.80e-01,-1.00e-01,1.74e-01, 
-2.65200e-04,4.20e-01,-1.20e-01,1.73e-01, 
-2.64200e-04,4.60e-01,-1.20e-01,1.75e-01, 
-2.63200e-04,4.00e-01,-1.00e-01,1.74e-01, 
-2.62200e-04,4.40e-01,-1.40e-01,1.72e-01, 
-2.61200e-04,4.20e-01,-1.20e-01,1.74e-01, 
-2.60200e-04,3.60e-01,-1.00e-01,1.72e-01, 
-2.59200e-04,3.80e-01,-1.00e-01,1.72e-01, 
-2.58200e-04,3.60e-01,-1.20e-01,1.74e-01, 
-2.57200e-04,3.20e-01,-8.00e-02,1.74e-01, 
-2.56200e-04,3.80e-01,-1.20e-01,1.75e-01, 
-2.55200e-04,3.40e-01,-1.20e-01,1.76e-01, 
-2.54200e-04,3.20e-01,-8.00e-02,1.74e-01, 
-2.53200e-04,3.40e-01,-1.20e-01,1.74e-01, 
-2.52200e-04,3.00e-01,-8.00e-02,1.77e-01, 
-2.51200e-04,3.20e-01,-6.00e-02,1.76e-01, 
-2.50200e-04,2.80e-01,-1.20e-01,1.79e-01, 
-2.49200e-04,2.80e-01,-1.00e-01,1.79e-01, 
-2.48200e-04,3.00e-01,-6.00e-02,1.80e-01, 
-2.47200e-04,2.80e-01,-1.00e-01,1.81e-01, 
-2.46200e-04,2.40e-01,-6.00e-02,1.80e-01, 
-2.45200e-04,2.60e-01,-4.00e-02,1.80e-01, 
-2.44200e-04,2.80e-01,-1.00e-01,1.81e-01, 
-2.43200e-04,2.60e-01,-8.00e-02,1.81e-01, 
-2.42200e-04,2.20e-01,-4.00e-02,1.84e-01, 
-2.41200e-04,2.40e-01,-8.00e-02,1.82e-01, 
-2.40200e-04,1.80e-01,-4.00e-02,1.84e-01, 
-2.39200e-04,2.20e-01,-4.00e-02,1.84e-01, 
-2.38200e-04,2.00e-01,-8.00e-02,1.87e-01, 
-2.37200e-04,2.00e-01,-6.00e-02,1.86e-01, 
-2.36200e-04,1.80e-01,-4.00e-02,1.88e-01, 
-2.35200e-04,2.00e-01,-6.00e-02,1.86e-01, 
-2.34200e-04,1.60e-01,-2.00e-02,1.88e-01, 
-2.33200e-04,1.80e-01,-4.00e-02,1.87e-01, 
-2.32200e-04,1.40e-01,-2.00e-02,1.90e-01, 
-2.31200e-04,1.80e-01,0.00e+00,1.88e-01, 
-2.30200e-04,1.20e-01,-4.00e-02,1.91e-01, 
-2.29200e-04,1.40e-01,0.00e+00,1.91e-01, 
-2.28200e-04,1.20e-01,-4.00e-02,1.89e-01, 
-2.27200e-04,1.40e-01,-4.00e-02,1.90e-01, 
-2.26200e-04,8.00e-02,2.00e-02,1.95e-01, 
-2.25200e-04,1.20e-01,-2.00e-02,1.93e-01, 
-2.24200e-04,8.00e-02,2.00e-02,1.95e-01, 
-2.23200e-04,1.00e-01,2.00e-02,1.95e-01, 
-2.22200e-04,6.00e-02,-2.00e-02,1.93e-01, 
-2.21200e-04,8.00e-02,0.00e+00,1.93e-01, 
-2.20200e-04,4.00e-02,2.00e-02,1.96e-01, 
-2.19200e-04,6.00e-02,0.00e+00,1.96e-01, 
-2.18200e-04,2.00e-02,4.00e-02,1.99e-01, 
-2.17200e-04,6.00e-02,0.00e+00,1.94e-01, 
-2.16200e-04,2.00e-02,4.00e-02,1.98e-01, 
-2.15200e-04,-2.00e-02,0.00e+00,1.98e-01, 
-2.14200e-04,4.00e-02,4.00e-02,1.99e-01, 
-2.13200e-04,-2.00e-02,0.00e+00,1.99e-01, 
-2.12200e-04,0.00e+00,6.00e-02,1.95e-01, 
-2.11200e-04,0.00e+00,6.00e-02,1.95e-01, 
