Trace1,
Freq,,Amp,,
                1000,Hz,              -16.90, dBm,
                1081,Hz,              -17.58, dBm,
                1162,Hz,              -18.42, dBm,
                1243,Hz,              -19.45, dBm,
                1324,Hz,              -20.67, dBm,
                1405,Hz,              -22.10, dBm,
                1486,Hz,              -23.76, dBm,
                1567,Hz,              -25.64, dBm,
                1648,Hz,              -27.74, dBm,
                1729,Hz,              -30.05, dBm,
                1810,Hz,              -32.51, dBm,
                1891,Hz,              -35.13, dBm,
                1972,Hz,              -37.81, dBm,
                2053,Hz,              -40.47, dBm,
                2134,Hz,              -43.01, dBm,
                2215,Hz,              -45.32, dBm,
                2296,Hz,              -47.27, dBm,
                2377,Hz,              -48.74, dBm,
                2458,Hz,              -49.81, dBm,
                2539,Hz,              -50.53, dBm,
                2620,Hz,              -50.97, dBm,
                2701,Hz,              -51.25, dBm,
                2782,Hz,              -51.46, dBm,
                2863,Hz,              -51.66, dBm,
                2944,Hz,              -51.80, dBm,
                3025,Hz,              -51.94, dBm,
                3106,Hz,              -52.07, dBm,
                3187,Hz,              -52.20, dBm,
                3268,Hz,              -52.34, dBm,
                3349,Hz,              -52.49, dBm,
                3430,Hz,              -52.62, dBm,
                3511,Hz,              -52.74, dBm,
                3592,Hz,              -52.82, dBm,
                3673,Hz,              -52.85, dBm,
                3754,Hz,              -52.87, dBm,
                3835,Hz,              -52.89, dBm,
                3916,Hz,              -52.93, dBm,
                3997,Hz,              -53.00, dBm,
                4078,Hz,              -53.06, dBm,
                4159,Hz,              -53.12, dBm,
                4240,Hz,              -53.21, dBm,
                4321,Hz,              -53.33, dBm,
                4402,Hz,              -53.49, dBm,
                4483,Hz,              -53.68, dBm,
                4564,Hz,              -53.88, dBm,
                4645,Hz,              -54.07, dBm,
                4726,Hz,              -54.23, dBm,
                4807,Hz,              -54.37, dBm,
                4888,Hz,              -54.48, dBm,
                4969,Hz,              -54.58, dBm,
                5050,Hz,              -54.68, dBm,
                5131,Hz,              -54.74, dBm,
                5212,Hz,              -54.75, dBm,
                5293,Hz,              -54.70, dBm,
                5374,Hz,              -54.62, dBm,
                5455,Hz,              -54.53, dBm,
                5536,Hz,              -54.45, dBm,
                5617,Hz,              -54.38, dBm,
                5698,Hz,              -54.32, dBm,
                5779,Hz,              -54.29, dBm,
                5860,Hz,              -54.27, dBm,
                5941,Hz,              -54.28, dBm,
                6022,Hz,              -54.33, dBm,
                6103,Hz,              -54.42, dBm,
                6184,Hz,              -54.56, dBm,
                6265,Hz,              -54.72, dBm,
                6346,Hz,              -54.90, dBm,
                6427,Hz,              -55.09, dBm,
                6508,Hz,              -55.28, dBm,
                6589,Hz,              -55.46, dBm,
                6670,Hz,              -55.60, dBm,
                6751,Hz,              -55.69, dBm,
                6832,Hz,              -55.75, dBm,
                6913,Hz,              -55.77, dBm,
                6994,Hz,              -55.76, dBm,
                7075,Hz,              -55.75, dBm,
                7156,Hz,              -55.71, dBm,
                7237,Hz,              -55.71, dBm,
                7318,Hz,              -55.74, dBm,
                7399,Hz,              -55.80, dBm,
                7480,Hz,              -55.85, dBm,
                7561,Hz,              -55.92, dBm,
                7642,Hz,              -55.99, dBm,
                7723,Hz,              -56.05, dBm,
