Trace1,
Freq,,Amp,,
                1000,Hz,              -16.89, dBm,
                1081,Hz,              -17.56, dBm,
                1162,Hz,              -18.39, dBm,
                1243,Hz,              -19.41, dBm,
                1324,Hz,              -20.62, dBm,
                1405,Hz,              -22.05, dBm,
                1486,Hz,              -23.70, dBm,
                1567,Hz,              -25.57, dBm,
                1648,Hz,              -27.66, dBm,
                1729,Hz,              -29.95, dBm,
                1810,Hz,              -32.42, dBm,
                1891,Hz,              -35.01, dBm,
                1972,Hz,              -37.66, dBm,
                2053,Hz,              -40.31, dBm,
                2134,Hz,              -42.86, dBm,
                2215,Hz,              -45.22, dBm,
                2296,Hz,              -47.24, dBm,
                2377,Hz,              -48.89, dBm,
                2458,Hz,              -50.17, dBm,
                2539,Hz,              -51.09, dBm,
                2620,Hz,              -51.60, dBm,
                2701,Hz,              -51.82, dBm,
                2782,Hz,              -51.87, dBm,
                2863,Hz,              -51.88, dBm,
                2944,Hz,              -51.88, dBm,
                3025,Hz,              -51.83, dBm,
                3106,Hz,              -51.79, dBm,
                3187,Hz,              -51.77, dBm,
                3268,Hz,              -51.78, dBm,
                3349,Hz,              -51.83, dBm,
                3430,Hz,              -51.91, dBm,
                3511,Hz,              -52.02, dBm,
                3592,Hz,              -52.13, dBm,
                3673,Hz,              -52.24, dBm,
                3754,Hz,              -52.35, dBm,
                3835,Hz,              -52.47, dBm,
                3916,Hz,              -52.60, dBm,
                3997,Hz,              -52.73, dBm,
                4078,Hz,              -52.85, dBm,
                4159,Hz,              -52.98, dBm,
                4240,Hz,              -53.11, dBm,
                4321,Hz,              -53.25, dBm,
                4402,Hz,              -53.39, dBm,
                4483,Hz,              -53.53, dBm,
                4564,Hz,              -53.65, dBm,
                4645,Hz,              -53.76, dBm,
                4726,Hz,              -53.85, dBm,
                4807,Hz,              -53.88, dBm,
                4888,Hz,              -53.88, dBm,
                4969,Hz,              -53.86, dBm,
                5050,Hz,              -53.81, dBm,
                5131,Hz,              -53.73, dBm,
                5212,Hz,              -53.64, dBm,
                5293,Hz,              -53.55, dBm,
                5374,Hz,              -53.46, dBm,
                5455,Hz,              -53.38, dBm,
                5536,Hz,              -53.32, dBm,
                5617,Hz,              -53.28, dBm,
                5698,Hz,              -53.28, dBm,
                5779,Hz,              -53.30, dBm,
                5860,Hz,              -53.36, dBm,
                5941,Hz,              -53.45, dBm,
                6022,Hz,              -53.55, dBm,
                6103,Hz,              -53.64, dBm,
                6184,Hz,              -53.72, dBm,
                6265,Hz,              -53.77, dBm,
                6346,Hz,              -53.81, dBm,
                6427,Hz,              -53.83, dBm,
                6508,Hz,              -53.87, dBm,
                6589,Hz,              -53.92, dBm,
                6670,Hz,              -54.00, dBm,
                6751,Hz,              -54.09, dBm,
                6832,Hz,              -54.19, dBm,
                6913,Hz,              -54.30, dBm,
                6994,Hz,              -54.43, dBm,
                7075,Hz,              -54.56, dBm,
                7156,Hz,              -54.69, dBm,
                7237,Hz,              -54.82, dBm,
                7318,Hz,              -54.97, dBm,
                7399,Hz,              -55.14, dBm,
                7480,Hz,              -55.30, dBm,
                7561,Hz,              -55.44, dBm,
                7642,Hz,              -55.55, dBm,
                7723,Hz,              -55.62, dBm,
                7804,Hz,              -55.67, dBm,
                7885,Hz,              -55.68, dBm,
                7966,Hz,              -55.68, dBm,
                8047,Hz,              -55.67, dBm,
                8128,Hz,              -55.66, dBm,
                8209,Hz,              -55.67, dBm,
                8290,Hz,              -55.70, dBm,
                8371,Hz,              -55.73, dBm,
                8452,Hz,              -55.76, dBm,
                8533,Hz,              -55.81, dBm,
                8614,Hz,              -55.86, dBm,
                8695,Hz,              -55.93, dBm,
                8776,Hz,              -56.01, dBm,
                8857,Hz,              -56.09, dBm,
                8938,Hz,              -56.17, dBm,
                9019,Hz,              -56.24, dBm,
                9100,Hz,              -56.31, dBm,
                9181,Hz,              -56.37, dBm,
                9262,Hz,              -56.43, dBm,
                9343,Hz,              -56.49, dBm,
                9424,Hz,              -56.56, dBm,
                9505,Hz,              -56.63, dBm,
                9586,Hz,              -56.70, dBm,
                9667,Hz,              -56.74, dBm,
                9748,Hz,              -56.77, dBm,
                9829,Hz,              -56.79, dBm,
                9910,Hz,              -56.81, dBm,
                9991,Hz,              -56.83, dBm,
               10072,Hz,              -56.88, dBm,
               10153,Hz,              -56.96, dBm,
               10234,Hz,              -57.05, dBm,
               10315,Hz,              -57.15, dBm,
               10396,Hz,              -57.22, dBm,
               10477,Hz,              -57.27, dBm,
               10558,Hz,              -57.27, dBm,
               10639,Hz,              -57.23, dBm,
               10720,Hz,              -57.19, dBm,
               10801,Hz,              -57.15, dBm,
               10882,Hz,              -57.11, dBm,
               10963,Hz,              -57.05, dBm,
               11044,Hz,              -56.96, dBm,
               11125,Hz,              -56.82, dBm,
               11206,Hz,              -56.65, dBm,
               11287,Hz,              -56.45, dBm,
               11368,Hz,              -56.21, dBm,
               11449,Hz,              -55.98, dBm,
               11530,Hz,              -55.76, dBm,
               11611,Hz,              -55.54, dBm,
               11692,Hz,              -55.32, dBm,
               11773,Hz,              -55.10, dBm,
               11854,Hz,              -54.89, dBm,
               11935,Hz,              -54.71, dBm,
               12016,Hz,              -54.56, dBm,
               12097,Hz,              -54.48, dBm,
               12178,Hz,              -54.46, dBm,
               12259,Hz,              -54.48, dBm,
               12340,Hz,              -54.54, dBm,
               12421,Hz,              -54.61, dBm,
               12502,Hz,              -54.71, dBm,
               12583,Hz,              -54.83, dBm,
               12664,Hz,              -54.98, dBm,
               12745,Hz,              -55.14, dBm,
               12826,Hz,              -55.30, dBm,
               12907,Hz,              -55.45, dBm,
               12988,Hz,              -55.59, dBm,
               13069,Hz,              -55.72, dBm,
               13150,Hz,              -55.82, dBm,
               13231,Hz,              -55.90, dBm,
               13312,Hz,              -55.96, dBm,
               13393,Hz,              -55.99, dBm,
               13474,Hz,              -56.01, dBm,
               13555,Hz,              -56.03, dBm,
               13636,Hz,              -56.04, dBm,
               13717,Hz,              -56.07, dBm,
               13798,Hz,              -56.11, dBm,
               13879,Hz,              -56.16, dBm,
               13960,Hz,              -56.21, dBm,
               14041,Hz,              -56.27, dBm,
               14122,Hz,              -56.34, dBm,
               14203,Hz,              -56.43, dBm,
               14284,Hz,              -56.57, dBm,
               14365,Hz,              -56.74, dBm,
               14446,Hz,              -56.94, dBm,
               14527,Hz,              -57.15, dBm,
               14608,Hz,              -57.37, dBm,
               14689,Hz,              -57.60, dBm,
               14770,Hz,              -57.84, dBm,
               14851,Hz,              -58.08, dBm,
               14932,Hz,              -58.30, dBm,
               15013,Hz,              -58.51, dBm,
               15094,Hz,              -58.71, dBm,
               15175,Hz,              -58.89, dBm,
               15256,Hz,              -59.07, dBm,
               15337,Hz,              -59.22, dBm,
               15418,Hz,              -59.35, dBm,
               15499,Hz,              -59.47, dBm,
               15580,Hz,              -59.57, dBm,
               15661,Hz,              -59.64, dBm,
               15742,Hz,              -59.68, dBm,
               15823,Hz,              -59.72, dBm,
               15904,Hz,              -59.77, dBm,
               15985,Hz,              -59.81, dBm,
               16066,Hz,              -59.85, dBm,
               16147,Hz,              -59.88, dBm,
               16228,Hz,              -59.92, dBm,
               16309,Hz,              -59.97, dBm,
               16390,Hz,              -60.03, dBm,
               16471,Hz,              -60.10, dBm,
               16552,Hz,              -60.16, dBm,
               16633,Hz,              -60.20, dBm,
               16714,Hz,              -60.23, dBm,
               16795,Hz,              -60.24, dBm,
               16876,Hz,              -60.24, dBm,
               16957,Hz,              -60.22, dBm,
               17038,Hz,              -60.18, dBm,
               17119,Hz,              -60.15, dBm,
               17200,Hz,              -60.12, dBm,
               17281,Hz,              -60.09, dBm,
               17362,Hz,              -60.08, dBm,
               17443,Hz,              -60.08, dBm,
               17524,Hz,              -60.10, dBm,
               17605,Hz,              -60.12, dBm,
               17686,Hz,              -60.12, dBm,
               17767,Hz,              -60.11, dBm,
               17848,Hz,              -60.09, dBm,
               17929,Hz,              -60.06, dBm,
               18010,Hz,              -60.02, dBm,
               18091,Hz,              -59.98, dBm,
               18172,Hz,              -59.95, dBm,
               18253,Hz,              -59.92, dBm,
               18334,Hz,              -59.92, dBm,
               18415,Hz,              -59.95, dBm,
               18496,Hz,              -59.99, dBm,
               18577,Hz,              -60.06, dBm,
               18658,Hz,              -60.14, dBm,
               18739,Hz,              -60.24, dBm,
               18820,Hz,              -60.35, dBm,
               18901,Hz,              -60.48, dBm,
               18982,Hz,              -60.62, dBm,
               19063,Hz,              -60.76, dBm,
               19144,Hz,              -60.91, dBm,
               19225,Hz,              -61.04, dBm,
               19306,Hz,              -61.15, dBm,
               19387,Hz,              -61.23, dBm,
               19468,Hz,              -61.30, dBm,
               19549,Hz,              -61.34, dBm,
               19630,Hz,              -61.36, dBm,
               19711,Hz,              -61.37, dBm,
               19792,Hz,              -61.37, dBm,
               19873,Hz,              -61.37, dBm,
               19954,Hz,              -61.37, dBm,
               20035,Hz,              -61.38, dBm,
               20116,Hz,              -61.38, dBm,
               20197,Hz,              -61.39, dBm,
               20278,Hz,              -61.41, dBm,
               20359,Hz,              -61.43, dBm,
               20440,Hz,              -61.46, dBm,
               20521,Hz,              -61.49, dBm,
               20602,Hz,              -61.53, dBm,
               20683,Hz,              -61.57, dBm,
               20764,Hz,              -61.63, dBm,
               20845,Hz,              -61.68, dBm,
               20926,Hz,              -61.72, dBm,
               21007,Hz,              -61.74, dBm,
               21088,Hz,              -61.74, dBm,
               21169,Hz,              -61.73, dBm,
               21250,Hz,              -61.71, dBm,
               21331,Hz,              -61.68, dBm,
               21412,Hz,              -61.65, dBm,
               21493,Hz,              -61.63, dBm,
               21574,Hz,              -61.62, dBm,
               21655,Hz,              -61.62, dBm,
               21736,Hz,              -61.64, dBm,
               21817,Hz,              -61.67, dBm,
               21898,Hz,              -61.71, dBm,
               21979,Hz,              -61.77, dBm,
               22060,Hz,              -61.85, dBm,
               22141,Hz,              -61.94, dBm,
               22222,Hz,              -62.01, dBm,
               22303,Hz,              -62.05, dBm,
               22384,Hz,              -62.09, dBm,
               22465,Hz,              -62.13, dBm,
               22546,Hz,              -62.16, dBm,
               22627,Hz,              -62.20, dBm,
               22708,Hz,              -62.23, dBm,
               22789,Hz,              -62.26, dBm,
               22870,Hz,              -62.27, dBm,
               22951,Hz,              -62.26, dBm,
               23032,Hz,              -62.23, dBm,
               23113,Hz,              -62.20, dBm,
               23194,Hz,              -62.14, dBm,
