Trace1,
Freq,,Amp,,
                1000,Hz,               -9.25, dBm,
                1498,Hz,               -9.25, dBm,
                1996,Hz,               -9.25, dBm,
                2494,Hz,               -9.25, dBm,
                2992,Hz,               -9.25, dBm,
                3490,Hz,               -9.25, dBm,
                3988,Hz,               -9.25, dBm,
                4486,Hz,               -9.26, dBm,
                4984,Hz,               -9.27, dBm,
                5482,Hz,               -9.30, dBm,
                5980,Hz,               -9.40, dBm,
                6478,Hz,               -9.58, dBm,
                6976,Hz,               -9.92, dBm,
                7474,Hz,              -10.70, dBm,
                7972,Hz,              -11.61, dBm,
                8470,Hz,              -12.84, dBm,
                8968,Hz,              -17.60, dBm,
                9466,Hz,              -54.58, dBm,
                9964,Hz,              -54.54, dBm,
               10462,Hz,              -54.59, dBm,
               10960,Hz,              -54.67, dBm,
               11458,Hz,              -54.76, dBm,
               11956,Hz,              -54.83, dBm,
               12454,Hz,              -54.85, dBm,
               12952,Hz,              -54.78, dBm,
               13450,Hz,              -54.70, dBm,
               13948,Hz,              -54.67, dBm,
               14446,Hz,              -54.63, dBm,
               14944,Hz,              -54.66, dBm,
               15442,Hz,              -54.69, dBm,
               15940,Hz,              -54.67, dBm,
               16438,Hz,              -54.56, dBm,
               16936,Hz,              -54.40, dBm,
               17434,Hz,              -54.15, dBm,
               17932,Hz,              -53.77, dBm,
               18430,Hz,              -53.45, dBm,
               18928,Hz,              -53.08, dBm,
               19426,Hz,              -52.66, dBm,
               19924,Hz,              -52.40, dBm,
               20422,Hz,              -52.15, dBm,
               20920,Hz,              -51.91, dBm,
               21418,Hz,              -51.85, dBm,
               21916,Hz,              -51.93, dBm,
               22414,Hz,              -52.34, dBm,
               22912,Hz,              -52.92, dBm,
               23410,Hz,              -53.75, dBm,
               23908,Hz,              -55.17, dBm,
               24406,Hz,              -56.36, dBm,
               24904,Hz,              -57.42, dBm,
               25402,Hz,              -58.37, dBm,
               25900,Hz,              -59.01, dBm,
               26398,Hz,              -59.58, dBm,
               26896,Hz,              -59.92, dBm,
               27394,Hz,              -60.23, dBm,
               27892,Hz,              -60.71, dBm,
               28390,Hz,              -61.04, dBm,
               28888,Hz,              -61.22, dBm,
               29386,Hz,              -61.32, dBm,
               29884,Hz,              -61.32, dBm,
               30382,Hz,              -61.28, dBm,
               30880,Hz,              -61.30, dBm,
               31378,Hz,              -61.37, dBm,
               31876,Hz,              -61.46, dBm,
               32374,Hz,              -61.60, dBm,
               32872,Hz,              -61.74, dBm,
               33370,Hz,              -61.87, dBm,
               33868,Hz,              -62.10, dBm,
               34366,Hz,              -62.32, dBm,
               34864,Hz,              -62.49, dBm,
               35362,Hz,              -62.67, dBm,
               35860,Hz,              -62.74, dBm,
               36358,Hz,              -62.72, dBm,
               36856,Hz,              -62.53, dBm,
               37354,Hz,              -62.29, dBm,
               37852,Hz,              -61.94, dBm,
               38350,Hz,              -61.48, dBm,
               38848,Hz,              -61.22, dBm,
               39346,Hz,              -61.03, dBm,
               39844,Hz,              -60.97, dBm,
               40342,Hz,              -61.07, dBm,
               40840,Hz,              -61.30, dBm,
               41338,Hz,              -61.78, dBm,
               41836,Hz,              -62.28, dBm,
               42334,Hz,              -62.78, dBm,
               42832,Hz,              -63.42, dBm,
               43330,Hz,              -63.84, dBm,
               43828,Hz,              -64.13, dBm,
               44326,Hz,              -64.49, dBm,
               44824,Hz,              -64.73, dBm,
               45322,Hz,              -64.93, dBm,
               45820,Hz,              -65.19, dBm,
               46318,Hz,              -65.36, dBm,
               46816,Hz,              -65.46, dBm,
               47314,Hz,              -65.56, dBm,
               47812,Hz,              -65.62, dBm,
               48310,Hz,              -65.62, dBm,
               48808,Hz,              -65.64, dBm,
               49306,Hz,              -65.71, dBm,
               49804,Hz,              -65.77, dBm,
               50302,Hz,              -65.89, dBm,
               50800,Hz,              -65.96, dBm,
               51298,Hz,              -66.00, dBm,
               51796,Hz,              -65.99, dBm,
               52294,Hz,              -65.96, dBm,
               52792,Hz,              -65.98, dBm,
               53290,Hz,              -66.07, dBm,
               53788,Hz,              -66.23, dBm,
               54286,Hz,              -66.54, dBm,
               54784,Hz,              -66.78, dBm,
               55282,Hz,              -66.95, dBm,
               55780,Hz,              -67.09, dBm,
               56278,Hz,              -67.14, dBm,
               56776,Hz,              -67.11, dBm,
               57274,Hz,              -67.07, dBm,
               57772,Hz,              -67.08, dBm,
               58270,Hz,              -67.14, dBm,
               58768,Hz,              -67.32, dBm,
               59266,Hz,              -67.47, dBm,
               59764,Hz,              -67.55, dBm,
               60262,Hz,              -67.59, dBm,
               60760,Hz,              -67.63, dBm,
               61258,Hz,              -67.64, dBm,
               61756,Hz,              -67.66, dBm,
               62254,Hz,              -67.66, dBm,
               62752,Hz,              -67.62, dBm,
               63250,Hz,              -67.54, dBm,
               63748,Hz,              -67.49, dBm,
               64246,Hz,              -67.40, dBm,
               64744,Hz,              -67.31, dBm,
               65242,Hz,              -67.27, dBm,
               65740,Hz,              -67.16, dBm,
               66238,Hz,              -66.92, dBm,
               66736,Hz,              -66.66, dBm,
               67234,Hz,              -66.34, dBm,
               67732,Hz,              -65.91, dBm,
               68230,Hz,              -65.62, dBm,
