Trace1,
Freq,,Amp,,
                1000,Hz,              -16.92, dBm,
                1081,Hz,              -17.60, dBm,
                1162,Hz,              -18.43, dBm,
                1243,Hz,              -19.45, dBm,
                1324,Hz,              -20.67, dBm,
                1405,Hz,              -22.11, dBm,
                1486,Hz,              -23.77, dBm,
                1567,Hz,              -25.64, dBm,
                1648,Hz,              -27.73, dBm,
                1729,Hz,              -30.01, dBm,
                1810,Hz,              -32.47, dBm,
                1891,Hz,              -35.04, dBm,
                1972,Hz,              -37.63, dBm,
                2053,Hz,              -40.20, dBm,
                2134,Hz,              -42.60, dBm,
                2215,Hz,              -44.72, dBm,
                2296,Hz,              -46.49, dBm,
                2377,Hz,              -47.87, dBm,
                2458,Hz,              -48.97, dBm,
                2539,Hz,              -49.82, dBm,
                2620,Hz,              -50.34, dBm,
                2701,Hz,              -50.63, dBm,
                2782,Hz,              -50.86, dBm,
                2863,Hz,              -51.10, dBm,
                2944,Hz,              -51.35, dBm,
                3025,Hz,              -51.59, dBm,
                3106,Hz,              -51.84, dBm,
                3187,Hz,              -52.10, dBm,
                3268,Hz,              -52.34, dBm,
                3349,Hz,              -52.52, dBm,
                3430,Hz,              -52.63, dBm,
                3511,Hz,              -52.70, dBm,
                3592,Hz,              -52.76, dBm,
                3673,Hz,              -52.85, dBm,
                3754,Hz,              -52.94, dBm,
                3835,Hz,              -53.04, dBm,
                3916,Hz,              -53.13, dBm,
                3997,Hz,              -53.23, dBm,
                4078,Hz,              -53.32, dBm,
                4159,Hz,              -53.40, dBm,
                4240,Hz,              -53.48, dBm,
                4321,Hz,              -53.60, dBm,
                4402,Hz,              -53.73, dBm,
                4483,Hz,              -53.86, dBm,
                4564,Hz,              -53.97, dBm,
                4645,Hz,              -54.05, dBm,
                4726,Hz,              -54.08, dBm,
                4807,Hz,              -54.07, dBm,
                4888,Hz,              -54.02, dBm,
                4969,Hz,              -53.98, dBm,
                5050,Hz,              -53.97, dBm,
                5131,Hz,              -53.96, dBm,
                5212,Hz,              -53.98, dBm,
                5293,Hz,              -54.04, dBm,
                5374,Hz,              -54.12, dBm,
                5455,Hz,              -54.17, dBm,
                5536,Hz,              -54.18, dBm,
                5617,Hz,              -54.14, dBm,
                5698,Hz,              -54.07, dBm,
                5779,Hz,              -54.00, dBm,
                5860,Hz,              -53.90, dBm,
                5941,Hz,              -53.81, dBm,
                6022,Hz,              -53.73, dBm,
                6103,Hz,              -53.64, dBm,
                6184,Hz,              -53.52, dBm,
                6265,Hz,              -53.40, dBm,
                6346,Hz,              -53.30, dBm,
                6427,Hz,              -53.26, dBm,
                6508,Hz,              -53.32, dBm,
                6589,Hz,              -53.48, dBm,
                6670,Hz,              -53.69, dBm,
                6751,Hz,              -53.96, dBm,
                6832,Hz,              -54.26, dBm,
                6913,Hz,              -54.59, dBm,
                6994,Hz,              -54.92, dBm,
                7075,Hz,              -55.28, dBm,
                7156,Hz,              -55.60, dBm,
                7237,Hz,              -55.90, dBm,
                7318,Hz,              -56.19, dBm,
                7399,Hz,              -56.44, dBm,
                7480,Hz,              -56.63, dBm,
                7561,Hz,              -56.75, dBm,
                7642,Hz,              -56.82, dBm,
                7723,Hz,              -56.82, dBm,
                7804,Hz,              -56.74, dBm,
                7885,Hz,              -56.58, dBm,
                7966,Hz,              -56.36, dBm,
                8047,Hz,              -56.13, dBm,
                8128,Hz,              -55.93, dBm,
                8209,Hz,              -55.76, dBm,
                8290,Hz,              -55.63, dBm,
                8371,Hz,              -55.55, dBm,
                8452,Hz,              -55.53, dBm,
                8533,Hz,              -55.55, dBm,
                8614,Hz,              -55.57, dBm,
                8695,Hz,              -55.60, dBm,
                8776,Hz,              -55.63, dBm,
                8857,Hz,              -55.67, dBm,
                8938,Hz,              -55.75, dBm,
                9019,Hz,              -55.87, dBm,
                9100,Hz,              -56.00, dBm,
                9181,Hz,              -56.14, dBm,
                9262,Hz,              -56.28, dBm,
                9343,Hz,              -56.43, dBm,
                9424,Hz,              -56.57, dBm,
                9505,Hz,              -56.70, dBm,
                9586,Hz,              -56.81, dBm,
                9667,Hz,              -56.91, dBm,
                9748,Hz,              -56.99, dBm,
                9829,Hz,              -57.04, dBm,
                9910,Hz,              -57.08, dBm,
                9991,Hz,              -57.12, dBm,
               10072,Hz,              -57.18, dBm,
               10153,Hz,              -57.22, dBm,
               10234,Hz,              -57.26, dBm,
               10315,Hz,              -57.30, dBm,
               10396,Hz,              -57.31, dBm,
               10477,Hz,              -57.32, dBm,
               10558,Hz,              -57.31, dBm,
               10639,Hz,              -57.30, dBm,
               10720,Hz,              -57.31, dBm,
               10801,Hz,              -57.31, dBm,
               10882,Hz,              -57.29, dBm,
               10963,Hz,              -57.24, dBm,
               11044,Hz,              -57.14, dBm,
               11125,Hz,              -56.96, dBm,
               11206,Hz,              -56.73, dBm,
               11287,Hz,              -56.48, dBm,
               11368,Hz,              -56.22, dBm,
               11449,Hz,              -55.98, dBm,
               11530,Hz,              -55.75, dBm,
               11611,Hz,              -55.54, dBm,
               11692,Hz,              -55.36, dBm,
               11773,Hz,              -55.21, dBm,
               11854,Hz,              -55.06, dBm,
               11935,Hz,              -54.94, dBm,
               12016,Hz,              -54.86, dBm,
               12097,Hz,              -54.82, dBm,
               12178,Hz,              -54.84, dBm,
               12259,Hz,              -54.91, dBm,
               12340,Hz,              -55.01, dBm,
               12421,Hz,              -55.13, dBm,
               12502,Hz,              -55.27, dBm,
               12583,Hz,              -55.44, dBm,
               12664,Hz,              -55.65, dBm,
               12745,Hz,              -55.90, dBm,
               12826,Hz,              -56.18, dBm,
               12907,Hz,              -56.48, dBm,
               12988,Hz,              -56.78, dBm,
               13069,Hz,              -57.04, dBm,
               13150,Hz,              -57.25, dBm,
               13231,Hz,              -57.42, dBm,
               13312,Hz,              -57.57, dBm,
               13393,Hz,              -57.70, dBm,
               13474,Hz,              -57.79, dBm,
               13555,Hz,              -57.82, dBm,
               13636,Hz,              -57.80, dBm,
               13717,Hz,              -57.75, dBm,
               13798,Hz,              -57.68, dBm,
