Trace1,
Freq,,Amp,,
                1000,Hz,              -18.63, dBm,
                1831,Hz,              -18.89, dBm,
                2662,Hz,              -24.21, dBm,
                3493,Hz,              -43.14, dBm,
                4324,Hz,              -54.46, dBm,
                5155,Hz,              -55.43, dBm,
                5986,Hz,              -57.66, dBm,
                6817,Hz,              -58.34, dBm,
                7648,Hz,              -58.48, dBm,
                8479,Hz,              -59.86, dBm,
                9310,Hz,              -62.31, dBm,
               10141,Hz,              -60.48, dBm,
               10972,Hz,              -58.46, dBm,
               11803,Hz,              -60.57, dBm,
               12634,Hz,              -63.11, dBm,
               13465,Hz,              -63.88, dBm,
               14296,Hz,              -64.62, dBm,
               15127,Hz,              -65.16, dBm,
               15958,Hz,              -64.63, dBm,
               16789,Hz,              -65.42, dBm,
               17620,Hz,              -66.60, dBm,
               18451,Hz,              -67.05, dBm,
               19282,Hz,              -67.25, dBm,
               20113,Hz,              -67.78, dBm,
               20944,Hz,              -65.16, dBm,
               21775,Hz,              -66.11, dBm,
               22606,Hz,              -68.63, dBm,
               23437,Hz,              -68.57, dBm,
               24268,Hz,              -68.43, dBm,
               25099,Hz,              -69.24, dBm,
               25930,Hz,              -70.07, dBm,
               26761,Hz,              -69.48, dBm,
               27592,Hz,              -69.69, dBm,
               28423,Hz,              -70.59, dBm,
               29254,Hz,              -69.89, dBm,
               30085,Hz,              -68.71, dBm,
               30916,Hz,              -67.70, dBm,
               31747,Hz,              -69.31, dBm,
               32578,Hz,              -70.53, dBm,
               33409,Hz,              -71.41, dBm,
               34240,Hz,              -71.09, dBm,
               35071,Hz,              -70.54, dBm,
               35902,Hz,              -70.72, dBm,
               36733,Hz,              -70.77, dBm,
               37564,Hz,              -70.67, dBm,
               38395,Hz,              -70.50, dBm,
               39226,Hz,              -71.39, dBm,
               40057,Hz,              -72.04, dBm,
               40888,Hz,              -69.25, dBm,
               41719,Hz,              -69.82, dBm,
               42550,Hz,              -71.67, dBm,
               43381,Hz,              -71.58, dBm,
               44212,Hz,              -70.69, dBm,
               45043,Hz,              -71.03, dBm,
               45874,Hz,              -71.90, dBm,
               46705,Hz,              -71.95, dBm,
               47536,Hz,              -72.70, dBm,
               48367,Hz,              -72.68, dBm,
               49198,Hz,              -72.61, dBm,
               50029,Hz,              -71.71, dBm,
               50860,Hz,              -70.58, dBm,
               51691,Hz,              -70.89, dBm,
               52522,Hz,              -72.52, dBm,
               53353,Hz,              -72.05, dBm,
               54184,Hz,              -71.85, dBm,
               55015,Hz,              -70.97, dBm,
               55846,Hz,              -70.57, dBm,
               56677,Hz,              -70.99, dBm,
               57508,Hz,              -71.44, dBm,
               58339,Hz,              -70.80, dBm,
               59170,Hz,              -70.33, dBm,
